,Date,Close,Adj_Close,PE_LTM,EPS_Est_High_NTM,EPS_Est_Low_NTM,Volume,SI_pc,Vol,n_Buys,n_Sell,n_Hold,Total_Rec,pc_Buy,pc_Sell,pc_Hold
35,3/3/2003,23.54,14.87828898,31.80028234,1.085,0.945,50841129.0,0.953692248,0.288058001,10.0,0.0,4.0,14.0,0.7142857142857143,0.0,0.2857142857142857
36,3/4/2003,23.07,14.58122883,31.16535742,1.085,0.945,56803900.0,0.953692248,0.290941936,10.0,0.0,4.0,14.0,0.7142857142857143,0.0,0.2857142857142857
37,3/5/2003,23.44,14.81508469,31.66519193,1.085,0.945,55631397.0,0.953692248,0.284574283,10.0,0.0,4.0,14.0,0.7142857142857143,0.0,0.2857142857142857
38,3/6/2003,23.27,14.70763741,31.43553823,1.085,0.945,51553414.0,0.953692248,0.271524971,10.0,0.0,4.0,14.0,0.7142857142857143,0.0,0.2857142857142857
39,3/7/2003,23.56,14.89092984,31.82730042,1.085,0.945,66167680.0,0.953692248,0.273871221,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
40,3/10/2003,22.95,14.50538369,31.00324892,1.085,0.945,48721361.0,0.953692248,0.286334512,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
41,3/11/2003,22.79,14.40425683,30.78710427,1.085,0.945,54268389.0,0.953692248,0.280876469,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
42,3/12/2003,23.39,14.78348255,31.59764672,1.085,0.945,72568874.0,0.953692248,0.289650356,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
43,3/13/2003,24.67,15.59249741,33.32680396,1.085,0.945,81041416.0,0.953692248,0.334990446,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
44,3/14/2003,24.86,15.71258556,33.58347574,1.085,0.945,75701349.0,0.953692248,0.335168178,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
45,3/17/2003,25.93,16.38887142,35.02894312,1.085,0.945,101197122.0,0.953692248,0.36029058,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
46,3/18/2003,26.04,16.45839613,35.17754257,1.085,0.945,78377645.0,0.953692248,0.350751202,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
47,3/19/2003,26.32,16.63536814,35.55579572,1.085,0.945,73828591.0,0.953692248,0.335496687,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
48,3/20/2003,26.25,16.59112514,35.46123243,1.085,0.945,72006425.0,0.953692248,0.330548362,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
49,3/21/2003,26.57,16.79337885,35.89352174,1.295,0.945,85826301.0,0.953692248,0.324537345,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
50,3/24/2003,25.29,15.98436399,34.1643645,1.295,0.945,61250394.0,0.953692248,0.369568217,11.0,0.0,4.0,15.0,0.7333333333333333,0.0,0.2666666666666666
