Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days,% change_5d,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15
7/3/2012,31.2,67.32350238,0.63,0.43,8765498.0,2.116346694,0.445015676,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,66708.25315,0.5074,35.88,0.9466967307432725,0.678793406633336,1.8616895091747792,-0.07036253776435047,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/5/2012,31.47,67.90610961,0.63,0.43,10036690.0,2.116346694,0.412161852,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,67285.53611,0.5074,34.38,0.5466943387305182,0.48234961962828937,1.591269101183377,-0.03195780328886124,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/6/2012,31.73,68.46713879,0.63,0.43,10949010.0,2.116346694,0.400823417,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,67841.43822,0.5074,33.9,0.2699086882632711,0.43254471830474805,1.1756263659772832,0.0035076530612244716,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/9/2012,32.17,69.4165728,0.63,0.43,17785180.0,2.116346694,0.389043984,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,68782.19564,0.5074,33.96,0.36562097861036347,0.4692289656683854,0.793425256779262,0.020421289596398186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/10/2012,31.47,67.90610961,0.63,0.43,14277000.0,2.116346694,0.396580509,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,67285.53611,0.5074,34.25,0.5289340223506146,1.0604900544350029,0.6585257560859494,0.045464885769068306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/11/2012,30.97,66.82720733,0.63,0.43,13027750.0,2.813484869,0.403115471,8.0,1.0,16.0,3.54054,20.54054,0.048684211807479255,0.7789473889196681,0.1723683992728526,66216.4936,0.5073,34.59,0.3658141604694941,1.3976393788575554,0.6561669212718884,0.00865384615384614,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/12/2012,30.81,66.4819586,0.63,0.43,11306640.0,2.813484869,0.403966775,8.0,0.0,17.0,3.59459,20.59459,0.0,0.8254595017429335,0.17454049825706655,65874.39999,0.5073,34.04,0.4374014174645539,1.4670303526360848,0.6893303651957836,-0.01588814744200826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/13/2012,30.72,66.28775618,0.63,0.43,8117346.0,2.813484869,0.403425769,8.0,0.0,17.0,3.59459,20.59459,0.0,0.8254595017429335,0.17454049825706655,65681.97234,0.5073,36.07,0.5556977595779934,1.489310149774795,0.7298653300438377,-0.028994642294358705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/16/2012,28.245,60.94718989,0.63,0.43,24672070.0,2.813484869,0.493128114,8.0,0.0,17.0,3.59459,20.59459,0.0,0.8254595017429335,0.17454049825706655,60390.21187,0.5073,35.09,0.6010989935110534,1.4529709984105743,0.7694634927445662,-0.045073049424930144,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/17/2012,28.09,60.61273018,0.63,0.43,30438550.0,2.813484869,0.443658374,8.0,0.0,17.0,3.59459,20.59459,0.0,0.8254595017429335,0.17454049825706655,60058.80869,0.5073,34.99,1.2624460384507519,1.2576902330153559,1.070224862887635,-0.10247855100095322,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
